city,AQI,PM2.5,PM10,SO2,NO2,CO,CO3,main_pollution,time
北京市,83,61,81,3,47,0.9,29,PM2.5,2021-01-26 21:00:00
天津市,112,84,115,7,87,1.2,14,PM2.5,2021-01-26 21:00:00
石家庄市,132,100,154,24,47,1.9,58,PM2.5,2021-01-26 21:00:00
唐山市,91,63,131,12,76,1.1,13,PM10,2021-01-26 21:00:00
秦皇岛市,74,30,97,10,39,0.8,41,PM10,2021-01-26 21:00:00
邯郸市,152,116,168,38,58,1.9,46,PM2.5,2021-01-26 21:00:00
邢台市,128,97,140,17,67,1.8,38,PM2.5,2021-01-26 21:00:00
保定市,190,143,169,6,73,1.7,4,PM2.5,2021-01-26 21:00:00
承德市,53,26,55,10,43,0.9,34,PM10,2021-01-26 21:00:00
沧州市,264,214,287,16,100,2.1,12,PM2.5,2021-01-26 21:00:00
廊坊市,139,106,155,8,84,1.5,10,PM2.5,2021-01-26 21:00:00
衡水市,72,49,94,14,57,0.8,39,PM10,2021-01-26 21:00:00
张家口市,45,20,45,8,16,0.5,72,―,2021-01-26 21:00:00
雄安新区,190,143,197,8,72,1.8,5,PM2.5,2021-01-26 21:00:00
太原市,73,32,96,11,27,0.6,68,PM10,2021-01-26 21:00:00
大同市,83,37,115,36,37,0.8,36,PM10,2021-01-26 21:00:00
阳泉市,82,48,113,25,70,0.8,25,PM10,2021-01-26 21:00:00
长治市,77,54,104,27,75,1.7,16,PM10,2021-01-26 21:00:00
晋城市,84,58,118,19,47,1.3,44,PM10,2021-01-26 21:00:00
朔州市,91,43,131,29,39,0.9,35,PM10,2021-01-26 21:00:00
晋中市,94,46,137,38,74,1.0,8,PM10,2021-01-26 21:00:00
运城市,110,83,160,33,54,1.9,38,PM2.5,2021-01-26 21:00:00
忻州市,99,48,147,15,62,0.9,9,PM10,2021-01-26 21:00:00
临汾市,114,86,141,21,73,1.3,15,PM2.5,2021-01-26 21:00:00
吕梁市,106,55,162,14,71,0.8,2,PM10,2021-01-26 21:00:00
呼和浩特市,75,28,100,18,39,0.9,35,PM10,2021-01-26 21:00:00
包头市,71,21,92,13,56,0.9,26,PM10,2021-01-26 21:00:00
乌海市,131,37,212,28,70,1.0,7,PM10,2021-01-26 21:00:00
赤峰市,36,11,36,11,21,0.6,57,―,2021-01-26 21:00:00
通辽市,48,28,48,8,26,0.6,58,―,2021-01-26 21:00:00
鄂尔多斯市,103,30,155,9,50,0.8,33,PM10,2021-01-26 21:00:00
呼伦贝尔市,31,18,31,4,7,0.4,71,―,2021-01-26 21:00:00
巴彦淖尔市,60,22,70,12,18,0.6,60,PM10,2021-01-26 21:00:00
乌兰察布市,61,19,72,19,43,0.8,37,PM10,2021-01-26 21:00:00
兴安盟,33,21,33,5,8,0.3,61,―,2021-01-26 21:00:00
锡林郭勒盟,22,5,14,5,4,0.4,68,―,2021-01-26 21:00:00
阿拉善盟,―,―,―,5,8,0.5,80,―,2021-01-26 21:00:00
沈阳市,268,218,266,18,85,2.7,11,PM2.5,2021-01-26 21:00:00
大连市,137,104,151,14,61,1.6,38,PM2.5,2021-01-26 21:00:00
瓦房店市,―,―,―,―,―,―,―,―,2021-01-26 21:00:00
鞍山市,276,226,285,9,83,3.8,19,PM2.5,2021-01-26 21:00:00
抚顺市,275,225,271,22,94,3.0,9,PM2.5,2021-01-26 21:00:00
本溪市,88,65,95,8,50,1.2,27,PM2.5,2021-01-26 21:00:00
丹东市,55,30,60,16,20,0.8,72,PM10,2021-01-26 21:00:00
锦州市,112,84,78,15,54,1.7,35,PM2.5,2021-01-26 21:00:00
营口市,172,130,145,14,58,3.0,32,PM2.5,2021-01-26 21:00:00
阜新市,53,15,55,11,21,0.5,59,PM10,2021-01-26 21:00:00
辽阳市,344,294,366,22,117,6.4,4,PM2.5,2021-01-26 21:00:00
盘锦市,140,107,104,30,50,2.1,39,PM2.5,2021-01-26 21:00:00
铁岭市,321,271,282,11,95,2.3,16,PM2.5,2021-01-26 21:00:00
朝阳市,43,16,43,8,22,0.6,54,―,2021-01-26 21:00:00
葫芦岛市,223,173,182,37,75,3.2,14,PM2.5,2021-01-26 21:00:00
长春市,48,29,48,16,35,0.7,47,―,2021-01-26 21:00:00
吉林市,51,35,51,11,28,0.7,70,PM10,2021-01-26 21:00:00
四平市,56,34,62,12,23,0.5,56,PM10,2021-01-26 21:00:00
辽源市,72,52,60,21,19,1.0,60,PM2.5,2021-01-26 21:00:00
通化市,50,35,48,14,20,1.0,62,―,2021-01-26 21:00:00
白山市,57,26,63,17,10,1.3,70,PM10,2021-01-26 21:00:00
松原市,53,8,56,6,10,0.4,56,PM10,2021-01-26 21:00:00
白城市,44,26,44,10,4,0.2,62,―,2021-01-26 21:00:00
延边州,57,19,63,9,10,0.4,84,PM10,2021-01-26 21:00:00
哈尔滨市,159,121,154,27,36,1.3,81,PM2.5,2021-01-26 21:00:00
齐齐哈尔市,50,35,44,12,9,0.5,56,―,2021-01-26 21:00:00
鸡西市,183,138,170,35,69,1.8,19,PM2.5,2021-01-26 21:00:00
鹤岗市,88,46,125,9,33,1.1,23,PM10,2021-01-26 21:00:00
双鸭山市,144,110,143,18,43,1.1,29,PM2.5,2021-01-26 21:00:00
大庆市,61,42,71,13,26,0.7,46,PM10,2021-01-26 21:00:00
伊春市,108,81,99,14,36,1.0,41,PM2.5,2021-01-26 21:00:00
佳木斯市,99,74,88,18,35,1.0,21,PM2.5,2021-01-26 21:00:00
七台河市,209,159,209,15,79,1.8,22,PM2.5,2021-01-26 21:00:00
牡丹江市,112,84,111,16,51,1.1,53,PM2.5,2021-01-26 21:00:00
黑河市,47,28,47,20,25,0.6,42,―,2021-01-26 21:00:00
绥化市,134,102,117,8,18,1.0,74,PM2.5,2021-01-26 21:00:00
大兴安岭地区,17,6,17,4,8,0.4,46,―,2021-01-26 21:00:00
上海市,39,27,21,4,36,0.8,45,―,2021-01-26 21:00:00
南京市,103,77,87,4,50,1.8,6,PM2.5,2021-01-26 21:00:00
无锡市,62,44,49,4,48,2.0,2,PM2.5,2021-01-26 21:00:00
江阴市,74,54,65,6,40,1.2,21,PM2.5,2021-01-26 21:00:00
宜兴市,55,39,60,8,38,1.9,11,"PM10,PM2.5",2021-01-26 21:00:00
徐州市,152,116,161,8,72,1.9,16,PM2.5,2021-01-26 21:00:00
常州市,75,55,63,5,50,1.8,6,PM2.5,2021-01-26 21:00:00
溧阳市,99,74,86,5,38,1.8,6,PM2.5,2021-01-26 21:00:00
金坛市,78,57,58,6,45,2.0,4,PM2.5,2021-01-26 21:00:00
苏州市,58,41,45,4,47,2.0,2,PM2.5,2021-01-26 21:00:00
常熟市,53,37,41,7,29,0.7,43,PM2.5,2021-01-26 21:00:00
张家港市,68,49,39,5,28,1.1,36,PM2.5,2021-01-26 21:00:00
昆山市,43,30,36,5,52,1.1,19,―,2021-01-26 21:00:00
吴江市,60,43,52,6,44,1.5,2,PM2.5,2021-01-26 21:00:00
太仓市,32,22,25,5,22,0.6,55,―,2021-01-26 21:00:00
南通市,64,46,34,4,18,0.9,48,PM2.5,2021-01-26 21:00:00
海门市,45,31,30,5,14,0.7,66,―,2021-01-26 21:00:00
连云港市,137,104,122,17,68,1.3,29,PM2.5,2021-01-26 21:00:00
淮安市,124,94,99,4,56,1.6,17,PM2.5,2021-01-26 21:00:00
盐城市,102,76,96,3,38,0.8,61,PM2.5,2021-01-26 21:00:00
扬州市,53,37,41,5,26,0.8,34,PM2.5,2021-01-26 21:00:00
镇江市,55,39,45,2,32,0.8,18,PM2.5,2021-01-26 21:00:00
句容市,97,72,92,8,45,1.6,3,PM2.5,2021-01-26 21:00:00
泰州市,55,39,46,4,26,0.7,32,PM2.5,2021-01-26 21:00:00
宿迁市,119,90,90,4,49,1.1,20,PM2.5,2021-01-26 21:00:00
杭州市,68,49,73,4,30,1.2,28,PM2.5,2021-01-26 21:00:00
富阳市,54,38,58,5,15,1.1,26,"PM10,PM2.5",2021-01-26 21:00:00
临安市,55,22,60,2,22,1.3,41,PM10,2021-01-26 21:00:00
宁波市,65,47,66,9,45,1.6,3,PM2.5,2021-01-26 21:00:00
温州市,29,17,29,5,40,0.8,8,―,2021-01-26 21:00:00
嘉兴市,54,38,48,5,47,1.6,5,PM2.5,2021-01-26 21:00:00
湖州市,80,59,75,3,34,1.3,18,PM2.5,2021-01-26 21:00:00
诸暨市,62,44,48,6,31,1.0,17,PM2.5,2021-01-26 21:00:00
金华市,25,17,22,5,44,1.0,3,―,2021-01-26 21:00:00
义乌市,19,13,16,6,34,0.9,18,―,2021-01-26 21:00:00
衢州市,39,27,36,4,38,1.3,13,―,2021-01-26 21:00:00
舟山市,26,18,25,5,46,1.7,4,―,2021-01-26 21:00:00
台州市,34,15,34,4,28,0.8,32,―,2021-01-26 21:00:00
丽水市,11,4,11,6,17,0.7,27,―,2021-01-26 21:00:00
绍兴市,67,48,71,5,39,1.4,13,PM2.5,2021-01-26 21:00:00
合肥市,165,125,103,5,53,1.3,10,PM2.5,2021-01-26 21:00:00
芜湖市,169,128,123,6,44,1.4,9,PM2.5,2021-01-26 21:00:00
蚌埠市,144,110,126,12,62,1.8,11,PM2.5,2021-01-26 21:00:00
淮南市,149,114,126,5,54,1.5,22,PM2.5,2021-01-26 21:00:00
马鞍山市,139,106,82,13,47,1.9,3,PM2.5,2021-01-26 21:00:00
淮北市,137,104,159,6,64,1.4,39,PM2.5,2021-01-26 21:00:00
铜陵市,166,126,158,10,34,1.4,29,PM2.5,2021-01-26 21:00:00
安庆市,172,130,131,16,31,1.3,43,PM2.5,2021-01-26 21:00:00
黄山市,62,44,55,9,15,1.0,50,PM2.5,2021-01-26 21:00:00
滁州市,130,99,124,6,56,1.9,8,PM2.5,2021-01-26 21:00:00
阜阳市,144,110,140,7,53,1.1,58,PM2.5,2021-01-26 21:00:00
宿州市,113,85,106,7,57,1.4,25,PM2.5,2021-01-26 21:00:00
六安市,158,120,163,6,46,1.4,49,PM2.5,2021-01-26 21:00:00
亳州市,134,102,144,10,36,1.4,63,PM2.5,2021-01-26 21:00:00
池州市,183,138,158,6,30,1.1,33,PM2.5,2021-01-26 21:00:00
宣城市,180,136,86,5,35,1.4,40,PM2.5,2021-01-26 21:00:00
福州市,41,26,41,5,32,0.7,44,―,2021-01-26 21:00:00
厦门市,32,18,32,6,19,0.5,74,―,2021-01-26 21:00:00
莆田市,48,26,48,5,20,0.4,67,―,2021-01-26 21:00:00
三明市,38,20,38,17,39,0.9,12,―,2021-01-26 21:00:00
泉州市,44,20,44,4,18,0.4,74,―,2021-01-26 21:00:00
漳州市,51,26,51,5,29,0.4,79,PM10,2021-01-26 21:00:00
南平市,26,18,26,7,15,0.8,36,―,2021-01-26 21:00:00
龙岩市,42,29,40,5,21,0.8,54,―,2021-01-26 21:00:00
宁德市,48,28,48,4,22,0.4,43,―,2021-01-26 21:00:00
南昌市,152,116,147,4,40,1.2,36,PM2.5,2021-01-26 21:00:00
景德镇市,55,38,60,7,31,1.0,26,PM10,2021-01-26 21:00:00
萍乡市,147,112,124,12,31,1.8,35,PM2.5,2021-01-26 21:00:00
九江市,127,96,129,4,39,1.1,19,PM2.5,2021-01-26 21:00:00
新余市,52,34,54,6,35,1.1,17,PM10,2021-01-26 21:00:00
鹰潭市,107,80,48,8,36,1.0,39,PM2.5,2021-01-26 21:00:00
赣州市,30,19,30,4,18,1.2,48,―,2021-01-26 21:00:00
吉安市,52,35,53,8,26,1.1,26,PM10,2021-01-26 21:00:00
宜春市,98,73,97,9,45,1.5,26,PM2.5,2021-01-26 21:00:00
抚州市,72,52,69,6,18,1.2,58,PM2.5,2021-01-26 21:00:00
上饶市,83,61,72,7,32,1.3,28,PM2.5,2021-01-26 21:00:00
赣江新区,165,125,174,6,44,1.6,24,PM2.5,2021-01-26 21:00:00
济南市,152,116,179,30,83,1.8,23,PM2.5,2021-01-26 21:00:00
章丘市,115,87,130,9,67,1.3,29,PM2.5,2021-01-26 21:00:00
青岛市,166,126,172,14,82,2.0,29,PM2.5,2021-01-26 21:00:00
胶州市,155,118,154,16,54,1.6,56,PM2.5,2021-01-26 21:00:00
即墨市,201,151,196,12,67,2.3,15,PM2.5,2021-01-26 21:00:00
平度市,198,148,179,13,72,2.3,9,PM2.5,2021-01-26 21:00:00
胶南市,202,152,190,18,73,1.8,42,PM2.5,2021-01-26 21:00:00
莱西市,204,154,178,13,62,2.2,9,PM2.5,2021-01-26 21:00:00
淄博市,196,147,207,39,85,2.0,15,PM2.5,2021-01-26 21:00:00
枣庄市,145,111,167,11,60,1.2,42,PM2.5,2021-01-26 21:00:00
东营市,120,91,184,15,81,1.4,14,PM2.5,2021-01-26 21:00:00
烟台市,143,109,162,23,83,1.8,21,PM2.5,2021-01-26 21:00:00
莱州市,212,162,210,40,82,3.4,4,PM2.5,2021-01-26 21:00:00
蓬莱市,―,―,―,―,―,―,―,―,2021-01-26 21:00:00
招远市,223,173,213,14,96,2.3,5,PM2.5,2021-01-26 21:00:00
潍坊市,221,171,222,12,98,2.0,8,PM2.5,2021-01-26 21:00:00
寿光市,238,188,274,48,85,2.6,3,PM2.5,2021-01-26 21:00:00
济宁市,142,108,162,20,72,2.0,44,PM2.5,2021-01-26 21:00:00
泰安市,103,77,113,20,48,1.0,60,PM2.5,2021-01-26 21:00:00
威海市,123,93,114,4,54,2.0,37,PM2.5,2021-01-26 21:00:00
文登市,92,68,108,4,48,1.9,40,PM2.5,2021-01-26 21:00:00
荣成市,97,72,127,6,48,1.8,39,PM2.5,2021-01-26 21:00:00
乳山市,93,69,93,8,45,2.2,44,PM2.5,2021-01-26 21:00:00
日照市,162,123,167,12,62,1.5,46,PM2.5,2021-01-26 21:00:00
临沂市,120,91,134,22,63,1.4,42,PM2.5,2021-01-26 21:00:00
德州市,255,205,274,19,66,2.0,42,PM2.5,2021-01-26 21:00:00
聊城市,198,148,209,19,85,1.5,33,PM2.5,2021-01-26 21:00:00
滨州市,210,160,224,18,92,2.0,18,PM2.5,2021-01-26 21:00:00
菏泽市,185,139,202,22,60,1.6,60,PM2.5,2021-01-26 21:00:00
郑州市,135,103,139,12,54,1.0,64,PM2.5,2021-01-26 21:00:00
开封市,180,136,182,14,66,1.2,59,PM2.5,2021-01-26 21:00:00
洛阳市,78,48,106,8,72,0.8,21,PM10,2021-01-26 21:00:00
平顶山市,152,116,160,14,47,1.1,68,PM2.5,2021-01-26 21:00:00
